Variable Label,Risk,Cluster Labels,Cluster Name,Thresh1,Thresh2,Thresh3,Thresh4,Domain,Topic,Variable Name,age,min,max,gender,male,race,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Two or more races,Native Hawaiian and other Pacific Islander,White,Some other race,Score,county,zip,census,nonveteran,veterans,weight,veteran_status
Percentage of population who lack adequate access to food,Food Security,0,Inadequate Food Access,3.6,11.8,14.7,30.4,4. Physical infrastructure,Food Access,CHR_PCT_FOOD,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Percentage of households receiving food stamps/SNAP with income below the poverty level,Food Security,0,Inadequate Food Access,100.0,3.5,0.73,0.0,2. Economic context,Poverty,ACS_PCT_HH_FOOD_STMP_BLW_POV,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
"Percentage of households that received food stamps/SNAP, past 12 months",Food Security,0,Inadequate Food Access,100.0,8.98,3.42,0.0,2. Economic context,Poverty,ACS_PCT_HH_FOOD_STMP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with public assistance income or food stamps/SNAP,Food Security,0,Inadequate Food Access,100.0,9.76,4.09,0.0,2. Economic context,Poverty,ACS_PCT_HH_PUB_ASSIST,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of unmarried partner households that received food stamps/SNAP benefits,Food Security,0,Inadequate Food Access,100.0,22.77,7.34,0.0,2. Economic context,Poverty,ACS_PCT_HH_1FAM_FOOD_STMP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of all farmers' markets that accept SFMNP benefits,Food Security,0,Inadequate Food Access,100.0,61.67,0.0,0.0,4. Physical infrastructure,Food Access,FEA_PCT_FARMERS_MARKET_SFMNP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Minority Health Social Vulnerability Index: Percentile ranking for household composition theme,Food Security,0,Inadequate Food Access,0.0,0.33,0.64,1.0,1. Social Context,Socioeconomic Disadvantage Indices,MHSVI_RPL_THEME2_HH_COMP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Social Vulnerability Index: Percentile ranking for household composition theme,Food Security,0,Inadequate Food Access,0.0,0.53,0.8,1.0,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEME2_HH_COMP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of all farmers' markets that accept SNAP benefits,Food Security,0,Inadequate Food Access,100.0,55.0,0.0,0.0,4. Physical infrastructure,Food Access,FEA_PCT_FARMERS_MARKET_SNAP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of limited service restaurants (fast food establishments) per 1,000 people",Food Security,1,Food Service Providers,0.15,0.76,0.9,6.87,4. Physical infrastructure,Food Access,CCBP_FF_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Total number of limited service restaurants (fast food establishments),Food Security,1,Food Service Providers,3.0,21.0,40.0,186.0,4. Physical infrastructure,Food Access,CCBP_TOT_FF,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,No,No,0.9,0
"Total number of specialized food stores per 1,000 people",Food Security,1,Food Service Providers,0.6,0.06,0.04,0.01,4. Physical infrastructure,Food Access,CCBP_SFS_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of food banks (from Feeding America's nationwide network of food banks),Food Security,1,Food Service Providers,1.0,1.0,0.0,0.0,4. Physical infrastructure,Food Access,FEA_TOT_FOODBANK,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of full service restaurants per 1,000 people",Food Security,1,Food Service Providers,12.36,0.75,0.58,0.12,4. Physical infrastructure,Food Access,CCBP_FSR_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of supermarkets and other grocery (except convenience) stores,Food Security,1,Food Service Providers,140.0,6.0,4.0,3.0,4. Physical infrastructure,Food Access,CCBP_TOT_SOGS,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,1.0,0.0,No,No,0.9,0
"Total number of supermarkets and other grocery (except convenience) stores per 1,000 people",Food Security,1,Food Service Providers,2.1,0.18,0.13,0.04,4. Physical infrastructure,Food Access,CCBP_SOGS_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of full service restaurants,Food Security,1,Food Service Providers,3.0,17.0,36.0,293.0,4. Physical infrastructure,Food Access,CCBP_TOT_FSR,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,No,No,0.9,0
"Percentage of tract population who are Hispanic or Latino living more than 1 mile from the nearest supermarket, supercenter, or large grocery store",Food Security,2,Accessibility to Supermarkets,0.0,1.45,4.57,100.0,4. Physical infrastructure,Food Access,FARA_PCT_LA_1_HISP,No,inf,-1.0,No,-1.0,Yes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,No,No,1.0,0
"Percentage of tract population who are Black or African American living more than 1 mile from the nearest supermarket, supercenter, or large grocery store",Food Security,2,Accessibility to Supermarkets,0.0,0.57,4.61,100.0,4. Physical infrastructure,Food Access,FARA_PCT_LA_1_BLACK,No,inf,-1.0,No,-1.0,Yes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,No,No,1.0,0
"Percentage of tract population who are Asian living more than 1 mile from the nearest supermarket, supercenter, or large grocery store",Food Security,2,Accessibility to Supermarkets,0.0,0.29,0.98,100.0,4. Physical infrastructure,Food Access,FARA_PCT_LA_1_ASIAN,No,inf,-1.0,No,-1.0,Yes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,No,No,1.0,0
"Percentage of tract population who are White living more than 1 mile from the nearest supermarket, supercenter, or large grocery store",Food Security,2,Accessibility to Supermarkets,0.0,61.99,94.15,100.0,4. Physical infrastructure,Food Access,FARA_PCT_LA_1_WHITE,No,inf,-1.0,No,-1.0,Yes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,1.0,No,No,1.0,0
"Percentage of tract population who are Native Hawaiian or Other Pacific Islander living more than 1 mile from the nearest supermarket, supercenter, or large grocery store",Food Security,2,Accessibility to Supermarkets,0.0,0.0,0.08,48.89,4. Physical infrastructure,Food Access,FARA_PCT_LA_1_NHPI,No,inf,-1.0,No,-1.0,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,No,No,1.0,0
"Percentage of tract population who are not included in the White, Black or African American, American Indian or Alaska Native, Asian, and Native Hawaiian or Other Pacific Islander race categories or who identify as more than one race living more than 1 mile from the nearest supermarket, supercenter, or large grocery store",Food Security,2,Accessibility to Supermarkets,0.0,1.43,3.49,100.0,4. Physical infrastructure,Food Access,FARA_PCT_LA_1_MR,No,inf,-1.0,No,-1.0,Yes,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0,1.0,No,No,1.0,0
"Percentage of tract population who are American Indian or Alaska Native living more than 1 mile from the nearest supermarket, supercenter, or large grocery store",Food Security,2,Accessibility to Supermarkets,0.0,0.17,0.5,100.0,4. Physical infrastructure,Food Access,FARA_PCT_LA_1_AIAN,No,inf,-1.0,No,-1.0,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,No,No,1.0,0
"Age-adjusted prevalence of adults aged 18 years and older who report not having participated in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise other than regular job (%)",Lifestyle,0,Physical Health,12.9,27.7,32.0,51.8,5. Healthcare context,Health Behaviors,CDCP_NO_PHY_ACTV_ADULT_A,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Crude prevalence of adults aged 18 years and older who report not having participated in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise other than regular job (%)",Lifestyle,0,Physical Health,9.3,27.7,34.6,63.7,5. Healthcare context,Health Behaviors,CDCP_NO_PHY_ACTV_ADULT_C,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of adults reporting 14 or more days of poor physical health per month,Lifestyle,0,Physical Health,7.01,12.66,14.27,29.19,5. Healthcare context,Health Outcomes,CHR_PCT_PHYSICAL_DISTRESS,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Percentage of adults reporting fair or poor health (age-adjusted),Lifestyle,0,Physical Health,8.59,18.38,21.78,41.92,5. Healthcare context,Health Outcomes,CHR_PCT_POOR_HEALTH,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Average percentage of high-risk long-stay nursing home residents with pressure ulcers in the county,Lifestyle,1,Anxiety,35.96,7.9,5.58,0.0,5. Healthcare context,Health outcomes,LTC_AVG_PCT_PRESSURE_ULCER,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Prevalence of anxiety disorders among Medicare (dual and non-dual) beneficiaries,Lifestyle,1,Anxiety,0.0,18.0,21.0,36.0,5. Healthcare context,Health outcomes,MMD_ANXIETY_DISD,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Percentage of adults reporting 14 or more days of poor mental health per month,Lifestyle,1,Anxiety,8.84,13.93,15.94,24.67,5. Healthcare context,Health Outcomes,CHR_PCT_MENTAL_DISTRESS,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Age-adjusted prevalence of adults aged 18 years and older who report usually getting less than 7 hours of sleep (%),Lifestyle,2,Sleep disorders,25.6,36.9,40.0,49.1,5. Healthcare context,Health Behaviors,CDCP_SLEEP_LESS7HR_ADULT_A,Yes,18.0,inf,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Crude prevalence of adults aged 18 years and older who report usually getting less than 7 hours of sleep (%),Lifestyle,2,Sleep disorders,20.2,36.2,40.4,60.8,5. Healthcare context,Health Behaviors,CDCP_SLEEP_LESS7HR_ADULT_C,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of adults reporting binge or heavy drinking,Lifestyle,3,Drinking/Smoking Behaviors,6.45,19.21,21.94,31.01,5. Healthcare context,Health Behaviors,CHR_PCT_EXCESS_DRINK,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Percentage of adults who are current smokers,Lifestyle,3,Drinking/Smoking Behaviors,7.08,18.62,22.56,44.57,5. Healthcare context,Health Behaviors,CHR_PCT_SMOKING,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Distance in miles to the nearest hospital with alcohol and drug abuse inpatient care, calculated using population weighted ZIP centroids",Transportation Risk,0,Distance to Health Services,0.0,6.54,20.76,469.88,5. Healthcare context,Characteristics of health care facilities,POS_DIST_ALC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,No,No,0.9,0
"Distance in miles to the nearest hospital with alcohol and drug abuse inpatient care, calculated using population weighted tract centroids",Transportation Risk,0,Distance to Health Services,0.03,6.69,20.6,468.73,5. Healthcare context,Characteristics of health care facilities,POS_DIST_ALC_TRACT,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,No,No,1.0,0
"Minimum distance in miles to the nearest hospital with alcohol and drug abuse inpatient care, calculated using population weighted tract centroids in the county",Transportation Risk,0,Distance to Health Services,0.02,0.38,12.01,468.73,5. Healthcare context,Characteristics of health care facilities,POS_MIN_DIST_ALC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Mean distance in miles to the nearest hospital with alcohol and drug abuse inpatient care, calculated using population weighted tract centroids in the county",Transportation Risk,0,Distance to Health Services,0.69,5.96,19.7,468.73,5. Healthcare context,Characteristics of health care facilities,POS_MEAN_DIST_ALC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Distance in miles to the nearest health clinic (FQHC, RHC), calculated using population weighted ZIP centroids",Transportation Risk,0,Distance to Health Services,0.0,2.64,7.59,391.69,5. Healthcare context,Characteristics of health care facilities,POS_DIST_CLINIC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,No,No,0.9,0
"Maximum distance in miles to the nearest hospital with alcohol and drug abuse inpatient care, calculated using population weighted tract centroids in the county",Transportation Risk,0,Distance to Health Services,0.76,20.25,35.16,468.73,5. Healthcare context,Characteristics of health care facilities,POS_MAX_DIST_ALC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Median distance in miles to the nearest hospital with alcohol and drug abuse inpatient care, calculated using population weighted tract centroids in the county",Transportation Risk,0,Distance to Health Services,0.61,4.91,19.83,468.73,5. Healthcare context,Characteristics of health care facilities,POS_MEDIAN_DIST_ALC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Percentage of workers who use public transportation with at least 60-minute commute time (ages 16 and over),Transportation Risk,1,Public Commute Services,0.0,22.5,72.92,100.0,4. Physical infrastructure,Transportation,ACS_PCT_PUB_COMMT_60MINUP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of workers who use public transportation with 30- to 59-minute commute time (ages 16 and over),Transportation Risk,1,Public Commute Services,0.0,24.025,63.64,100.0,4. Physical infrastructure,Transportation,ACS_PCT_PUB_COMMT_59MIN,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
"Percentage of workers taking public transportation, excluding taxicab (ages 16 and over)",Transportation Risk,1,Public Commute Services,100.0,5.29,0.0,0.0,4. Physical infrastructure,Transportation,ACS_PCT_PUBL_TRANSIT,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of workers with at least 60-minute commute time (ages 16 and over),Transportation Risk,1,Public Commute Services,0.0,7.11,14.0,100.0,4. Physical infrastructure,Transportation,ACS_PCT_COMMT_60MINUP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of workers with 30- to 59-minute commute time (ages 16 and over),Transportation Risk,1,Public Commute Services,0.0,27.99,39.0,100.0,4. Physical infrastructure,Transportation,ACS_PCT_COMMT_59MIN,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Minority Health Social Vulnerability Index: Percentile ranking for housing/transportation theme,Transportation Risk,2,Private Transport Conditions,0.0,0.65,0.85,1.0,1. Social Context,Socioeconomic Disadvantage Indices,MHSVI_RPL_THEME4_HH_TRANS,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Social Vulnerability Index: Percentile ranking for housing/transportation theme,Transportation Risk,2,Private Transport Conditions,0.0,0.47,0.77,1.0,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEME4_HH_TRANS,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of low access population measured at 1 mile for urban areas and 10 miles for rural areas ,Transportation Risk,2,Private Transport Conditions,0.0,24.75,67.97199999999997,100.0,,,FARA_PCT_LA_1_10_POP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,No,No,1.0,0
Percentage of low access population measured at 1/2 mile for urban areas and 10 miles for rural areas ,Transportation Risk,2,Private Transport Conditions,0.0,58.64,93.9,100.0,,,FARA_PCT_LA_HALF_10_POP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,No,No,1.0,0
Indicator for low income and low access tract using vehicle access or low income and low access tract measured at 20 miles,Transportation Risk,2,Private Transport Conditions,1.0,1.0,0.0,0.0,4. Physical infrastructure,Food Access,FARA_TRACT_LILA_VEHICLE_20,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,No,No,1.0,0
Percentage of low access population measured at 1 mile for urban areas and 20 miles for rural areas,Transportation Risk,2,Private Transport Conditions,0.0,28.47,74.31,100.0,4. Physical infrastructure,Food Access,FARA_PCT_LA_1_20_POP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,No,No,1.0,0
Minority Health Social Vulnerability Index: Percentile ranking for health care infrastructure/access theme,Transportation Risk,2,Private Transport Conditions,0.0,0.44,0.66,1.0,1. Social Context,Socioeconomic Disadvantage Indices,MHSVI_RPL_THEME5_HCI_ACCESS,No,inf,-1.0,No,-1.0,Yes,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,0.0,No,No,0.6,0
Percentage of housing units with no vehicle available,Transportation Risk,2,Private Transport Conditions,0.0,4.5,11.38,100.0,4. Physical infrastructure,Transportation,ACS_PCT_HU_NO_VEH,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
"Total number of hospitals with mobile health services per 1,000 population",Transportation Risk,3,Mobile Health Services,0.36,0.01,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AHRF_HOSP_MOBILE_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of hospitals with mobile health services,Transportation Risk,3,Mobile Health Services,9.0,3.0,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AHRF_TOT_HOSP_MOBILE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of hospitals with ambulance services per 1,000 population",Transportation Risk,3,Mobile Health Services,0.46,0.04,0.0,0.0,,,POS_HOSP_AMBULANCE_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of hospitals with ambulance services,Transportation Risk,3,Mobile Health Services,2.0,1.0,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,POS_TOT_HOSP_AMBULANCE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Percentage of population with Medicare, Medicaid, TRICARE/military, U.S. Department of Veterans Affairs (VA) coverage and other public-only health insurance combinations",financial Risk,0,Medicare/ Medicaid Beneficiaries,100.0,22.96,14.16,0.0,5. Healthcare context,Health insurance status,ACS_PCT_PUBLIC_ONLY,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,Yes,1.0,1
Percentage of population with employer-based and Medicare insurance coverage,financial Risk,0,Medicare/ Medicaid Beneficiaries,100.0,2.83,1.33,0.0,5. Healthcare context,Health insurance status,ACS_PCT_PRIVATE_MDCR,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of population with Medicare only,financial Risk,0,Medicare/ Medicaid Beneficiaries,100.0,5.43,3.36,0.0,5. Healthcare context,Health insurance status,ACS_PCT_MEDICARE_ONLY,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of population with direct-purchase and Medicare health insurance (ages 35 and over),financial Risk,0,Medicare/ Medicaid Beneficiaries,100.0,3.34,1.31,0.0,5. Healthcare context,Health insurance status,ACS_PCT_SELF_MDCR_ABOVE35,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of population with direct-purchase and Medicare health insurance (between ages 35 and 64),financial Risk,0,Medicare/ Medicaid Beneficiaries,57.14,0.62,0.0,0.0,5. Healthcare context,Health insurance status,ACS_PCT_PRIVATE_MDCR_35_64,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
